time[s],u[m/s]
737,3.475340e-01,6.000000e+00
738,9.070165e-01,1.800000e+01
739,3.373503e-01,6.000000e+00
740,8.941803e-01,1.700000e+01
741,3.784875e-01,7.000000e+00
742,9.409388e-01,1.800000e+01
743,2.222918e-01,4.000000e+00
744,6.915127e-01,1.300000e+01
745,8.532915e-01,1.700000e+01
746,5.007405e-01,1.000000e+01
747,9.999978e-01,1.900000e+01
748,8.773153e-06,0.000000e+00
749,3.509230e-05,0.000000e+00
750,1.403643e-04,0.000000e+00
751,5.613783e-04,0.000000e+00
752,2.244253e-03,0.000000e+00
753,8.956864e-03,0.000000e+00
754,3.550656e-02,0.000000e+00
755,1.369834e-01,2.000000e+00
756,4.728757e-01,9.000000e+00
757,9.970571e-01,1.900000e+01
758,1.173701e-02,0.000000e+00
759,4.639703e-02,0.000000e+00
760,1.769774e-01,3.000000e+00
761,5.826255e-01,1.100000e+01
762,9.726921e-01,1.900000e+01
763,1.062487e-01,2.000000e+00
764,3.798397e-01,7.000000e+00
765,9.422460e-01,1.800000e+01
766,2.176738e-01,4.000000e+00
767,6.811677e-01,1.300000e+01
768,8.687131e-01,1.700000e+01
769,4.562027e-01,9.000000e+00
770,9.923272e-01,1.900000e+01
771,3.045578e-02,0.000000e+00
772,1.181129e-01,2.000000e+00
